danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
0.242,0.592,9,-10.181,1,0.0387,0.0259,0.0,0.0792,0.317,167.567,0InW8BolYQOtEilob4C6LO,spotify:track:0InW8BolYQOtEilob4C6LO,https://api.spotify.com/v1/tracks/0InW8BolYQOtEilob4C6LO,https://api.spotify.com/v1/audio-analysis/0InW8BolYQOtEilob4C6LO,225133,4
0.534,0.0556,0,-19.916,1,0.0481,0.922,0.00024,0.11,0.272,92.65,2cFGv8v5DcbJXHEdzouFne,spotify:track:2cFGv8v5DcbJXHEdzouFne,https://api.spotify.com/v1/tracks/2cFGv8v5DcbJXHEdzouFne,https://api.spotify.com/v1/audio-analysis/2cFGv8v5DcbJXHEdzouFne,69813,4
0.274,0.144,5,-14.516,1,0.0482,0.92,0.000388,0.29,0.302,61.551,7tUSJY4nsDBJTjd1UXKRsT,spotify:track:7tUSJY4nsDBJTjd1UXKRsT,https://api.spotify.com/v1/tracks/7tUSJY4nsDBJTjd1UXKRsT,https://api.spotify.com/v1/audio-analysis/7tUSJY4nsDBJTjd1UXKRsT,195493,5
0.405,0.62,0,-6.806,0,0.142,0.0419,1.38e-05,0.108,0.48,195.881,2cOE7d35PyfAh9M7DglPk0,spotify:track:2cOE7d35PyfAh9M7DglPk0,https://api.spotify.com/v1/tracks/2cOE7d35PyfAh9M7DglPk0,https://api.spotify.com/v1/audio-analysis/2cOE7d35PyfAh9M7DglPk0,201342,4
0.696,0.317,3,-12.512,1,0.0307,0.781,1.47e-06,0.213,0.477,115.958,2O8YJmOg9lOgn5JNHF9Qi9,spotify:track:2O8YJmOg9lOgn5JNHF9Qi9,https://api.spotify.com/v1/tracks/2O8YJmOg9lOgn5JNHF9Qi9,https://api.spotify.com/v1/audio-analysis/2O8YJmOg9lOgn5JNHF9Qi9,124867,4
0.621,0.476,7,-9.152,1,0.0325,0.652,0.0,0.1,0.576,124.266,33GqT5sh9PQq8mnTPWUkco,spotify:track:33GqT5sh9PQq8mnTPWUkco,https://api.spotify.com/v1/tracks/33GqT5sh9PQq8mnTPWUkco,https://api.spotify.com/v1/audio-analysis/33GqT5sh9PQq8mnTPWUkco,196080,4
0.874,0.336,2,-11.438,1,0.0613,0.639,9.8e-05,0.0926,0.717,105.85,2ar6N0eVWjj0ooGEBR57RZ,spotify:track:2ar6N0eVWjj0ooGEBR57RZ,https://api.spotify.com/v1/tracks/2ar6N0eVWjj0ooGEBR57RZ,https://api.spotify.com/v1/audio-analysis/2ar6N0eVWjj0ooGEBR57RZ,113440,4
0.636,0.412,8,-9.815,1,0.0558,0.662,5.96e-05,0.68,0.589,121.699,7xf3S6Bv8hDqOtevZou602,spotify:track:7xf3S6Bv8hDqOtevZou602,https://api.spotify.com/v1/tracks/7xf3S6Bv8hDqOtevZou602,https://api.spotify.com/v1/audio-analysis/7xf3S6Bv8hDqOtevZou602,217787,4
0.164,0.0248,5,-27.25,1,0.0462,0.98,0.967,0.103,0.0553,79.083,7jSQaXLzpLHjSQTev2krvT,spotify:track:7jSQaXLzpLHjSQTev2krvT,https://api.spotify.com/v1/tracks/7jSQaXLzpLHjSQTev2krvT,https://api.spotify.com/v1/audio-analysis/7jSQaXLzpLHjSQTev2krvT,76133,3
0.31,0.558,5,-10.399,0,0.0701,0.744,0.455,0.359,0.367,75.539,3M7GXKcmP9WzW8zoOeTSTJ,spotify:track:3M7GXKcmP9WzW8zoOeTSTJ,https://api.spotify.com/v1/tracks/3M7GXKcmP9WzW8zoOeTSTJ,https://api.spotify.com/v1/audio-analysis/3M7GXKcmP9WzW8zoOeTSTJ,441453,4
